Cities,Density,Alpha,Beta,Baseline,goldThief,Improvement_%
100,0.2,0.0,0.5,107.5,49.03,54.39
100,0.2,0.0,1.0,107.5,49.03,54.39
100,0.2,0.0,2.0,107.5,49.03,54.39
100,0.2,0.0,4.0,107.5,46.75,56.52
100,0.2,1.0,0.5,1563.99,1366.64,12.62
100,0.2,1.0,1.0,25266.41,25233.49,0.13
100,0.2,1.0,2.0,9549171.57,8645190.41,9.47
100,0.2,1.0,4.0,2071373894995.78,1357192780008.37,34.48
100,0.2,2.0,0.5,2167.29,1908.9,11.92
100,0.2,2.0,1.0,50425.31,50393.06,0.06
100,0.2,2.0,2.0,38196363.79,34580482.09,9.47
100,0.2,2.0,4.0,33141982318319.99,21715084478743.44,34.48
100,0.2,4.0,0.5,3020.48,2676.69,11.38
100,0.2,4.0,1.0,100743.12,100711.07,0.03
100,0.2,4.0,2.0,152785132.67,138321648.81,9.47
100,0.2,4.0,4.0,530271717091507.5,347441351658504.6,34.48
100,0.5,0.0,0.5,76.83,33.92,55.86
100,0.5,0.0,1.0,76.83,33.92,55.86
100,0.5,0.0,2.0,76.83,33.92,55.86
100,0.5,0.0,4.0,76.83,30.98,59.67
100,0.5,1.0,0.5,1315.62,1130.76,14.05
100,0.5,1.0,1.0,18811.32,18795.01,0.09
100,0.5,1.0,2.0,5680915.28,4870532.44,14.27
100,0.5,1.0,4.0,855940761718.21,459418514829.85,46.33
100,0.5,2.0,0.5,1828.75,1584.41,13.36
100,0.5,2.0,1.0,37545.81,37530.12,0.04
100,0.5,2.0,2.0,22723430.65,19481936.25,14.26
100,0.5,2.0,4.0,13695052186338.96,7350696236336.15,46.33
100,0.5,4.0,0.5,2554.41,2224.86,12.9
100,0.5,4.0,1.0,75014.8,75000.3,0.02
100,0.5,4.0,2.0,90893492.09,77927551.45,14.26
100,0.5,4.0,4.0,219120834980271.0,117611139780436.88,46.33
100,1.0,0.0,0.5,74.45,30.53,59.0
100,1.0,0.0,1.0,74.45,30.53,59.0
100,1.0,0.0,2.0,74.45,30.53,59.0
100,1.0,0.0,4.0,74.45,27.61,62.92
100,1.0,1.0,0.5,1292.63,1068.62,17.33
100,1.0,1.0,1.0,18266.19,18255.18,0.06
100,1.0,1.0,2.0,5404978.09,4609753.93,14.71
100,1.0,1.0,4.0,793337760921.43,462364085068.66,41.72
100,1.0,2.0,0.5,1797.22,1497.9,16.65
100,1.0,2.0,1.0,36457.92,36450.56,0.02
100,1.0,2.0,2.0,21619689.0,18438838.76,14.71
100,1.0,2.0,4.0,12693404173626.13,7397825360202.99,41.72
100,1.0,4.0,0.5,2510.81,2104.98,16.16
100,1.0,4.0,1.0,72841.38,72836.69,0.01
100,1.0,4.0,2.0,86478532.63,73755178.08,14.71
100,1.0,4.0,4.0,203094466776901.2,118365205762352.31,41.72
